title,author,year_written,year_published
Тигролови,Іван Багряний,1944,1944.0
Розбудова держави (журнал),,1949,
Самостійна Україна (газета),,1948,
Український математичний журнал,,1949,
Українські вісті (газета),,1945,
Холмська Земля,,1942,
Slavistica (серія),,1948,
Архіви України,,1947,1947.0
Аудиторія (газета),,1946,
Визвольний шлях (журнал),,1948,
Відомості Верховної Ради України,,1941,
Любіть Україну!,Сосюра Володимир Миколайович,1944,
Хотинські вісті,,1940,
"Колос (газета, Заліщики)",,1940,
Державна думка,,1945,
Визвольна політика,,1946,
Ніч перед боєм,Олександр Довженко,1942,1942.0
Під золотим орлом (п'єса),Галан Ярослав Олександрович,1947,1947.0
Колекція Зіни Геник-Березовської,,1940,
"Полтарєва, Вікторія. Вишита хустина, 1946. Зразок прикладного мистецтва.",,1946,
Young Guard (opera),,1946,1947.0
Young Guard (opera),,1947,1947.0
Дзвін,,1941,
Кременецький вісник,,1941,1941.0
Кременецький вісник,,1999,1941.0
Гомін України,,1948,
Молода Галичина,,1940,
Гарт. Спортовий часопис,,1946,
Арсенал,,1959,2000.0
Березіль,,1956,
Український історичний журнал,,1957,
Український фізичний журнал,,1956,
"Наше слово (газета, Польща)",,1956,
Біблос,,1954,
Веселка (журнал),,1954,
Вісник Київського університету,,1958,
Дивослово,,1951,
Дукля (журнал),,1953,
Жіночий світ,,1950,
Новий обрій,,1954,
Святослав (роман),Скляренко Семен Дмитрович,1958,1959.0
Український Прометей,,1951,
Фенікс,,1951,
Фізико-технічний факультет Дніпровського національного університету імені Олеся Гончара,,1951,
Лісова пісня,,1955,
Украдене щастя,,1958,2000.0
Дружно вперед,,1951,
Q25396407,Михайло Стельмах,1959,
Нові поезії,,1959,
УКРАЇНСЬКИЙ МУЗЕЙ-АРХІВ У КЛІВЛЕНДІ,,1952,
Механізація сільського господарства,,1950,
Вісник сільськогосподарської науки,,1957,
Поліграфія і видавнича справа,,1964,
Цитологія і генетика,,1967,
Культура слова (журнал),,1967,
Собор (роман),Гончар Олесь Терентійович,1967,1968.0
Сузір'я (видання),,1967,
Сучасність,,1961,
Таємний посол,Малик Володимир Кирилович,1968,
Тореадори з Васюківки,Всеволод Нестайко,1963,1973.0
Українське музикознавство,,1965,
Український Історик,,1963,
Новини кіноекрану,,1961,
«Аристократ» із Вапнярки,Чорногуз Олег Федорович,1964,
Агрохімія і ґрунтознавство,,1965,1966.0
Володимир (роман),Скляренко Семен Дмитрович,1962,
Воля і Батьківщина,,1964,
Вісник Львівського університету. Серія біологічна,,1962,
Вісті Комбатанта,,1961,
Геологія і геохімія горючих копалин,,1965,
Два кольори,,1964,1964.0
Диво (роман),Загребельний Павло Архипович,1968,
Економічна та соціальна географія (наукова збірка),,1966,
Збагачення корисних копалин (періодичне видання),,1967,
Вісті з України,,1960,
Наше слово,,1965,
Снятин,,1968,
Жовтий князь,Василь Барка,1900,1963.0
Ровесник,,1966,
Крилаті,,1963,
Лист творчої молоді Дніпропетровська,Сокульський Іван Григорович,1968,1968.0
Лист творчої молоді Дніпропетровська,Скорик Михайло Тихонович,1968,1968.0
Малятко,,1960,
Мовознавство,,1967,
Молодий буковинець,,1967,
Нотатки з Мистецтва,,1963,
Патріярхат,,1967,
Переклад Біблії Івана Огієнка,,1962,
Подільське слово (1967),,1967,
Mechanics and Advanced Technologies,,1964,
Історіографічні дослідження в Україні,,1968,1968.0
Вісник Львівського університету. Серія фізична,,1962,
Prometheus Collection,,1969,
Knuts Skujenieks collection,,1963,
"ТРИ ЛИСТИ МИХАЙЛИНИ КОЦЮБИНСЬКОЇ ДО ЗІНИ ГЕНИК-БЕРЕЗОВСЬКОЇ, ЛИПЕНЬ-ГРУДЕНЬ 1965 р.",,1965,
A samizdat miniature of M.Yu. Braichevsky’s Priednannia chy voz’ednannia?,,1966,
"Севрук, Галина. Розп’яття, 1969. Кераміка.",,1969,
"Горська, Алла. Василь Симоненко, 1963 р. Живопис.",,1963,
Виноградарство і виноробство,,1964,
Уславлені імена,,1966,
Бесіди про художню літературу,,1963,
Романси на сл. Шевченка,,1962,
Ярослав Мудрий,,1973,2000.0
Листи кохання,,1971,
Ярослав Мудрий,,1972,2000.0
Коли цвіте папороть,,1978,2000.0
Меч Арея,Білик Іван Іванович,1970,
Словник художників України,,1973,1973.0
Три зозулі з поклоном,Григір Тютюнник,1976,
Одиниця з обманом,Всеволод Нестайко,1976,
Тореадори з Васюківки,Всеволод Нестайко,1963,1973.0
Фізична географія та геоморфологія,,1970,
Пригоди. Фантастика,,1972,
Мінералогічний журнал,,1979,
